dinolayer_exp, S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1,72.403,84.377,67.636,63.918,66.514,87.485,9.196,15.483,59.521,8.734
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_3333,65.288,79.66,66.075,62.262,66.143,93.688,10.049,15.897,75.06,9.044
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111111,67.337,81.322,65.957,61.374,65.658,93.573,8.056,14.327,74.073,7.95
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_6,72.65,84.67,68.828,65.484,66.67,93.129,11.858,19.308,73.232,11.0
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_22,70.154,83.065,67.413,63.433,66.181,93.147,8.755,15.739,73.152,8.792
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111111,67.505,81.284,65.919,61.325,65.646,93.652,8.093,14.387,74.537,7.993
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_222,69.922,82.73,68.028,63.792,66.618,93.897,9.696,16.188,75.174,9.068
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_22222,68.868,82.01,67.353,62.87,66.171,94.026,9.429,15.77,76.083,8.836
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_44,70.562,83.012,68.32,63.975,66.423,93.953,10.866,17.58,75.228,9.943
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11,70.036,82.983,66.813,63.213,66.238,92.67,8.767,15.766,72.954,8.821
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111111,68.092,81.894,66.425,62.007,66.018,93.705,8.52,14.831,74.41,8.254
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_33,70.379,83.224,68.604,64.456,66.54,93.807,10.855,17.39,74.719,9.813
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_3,73.037,84.669,68.611,65.346,66.555,92.295,11.876,19.176,71.412,10.955
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_2,72.959,84.565,68.553,65.313,66.451,91.533,11.56,18.864,69.31,10.77
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111111111,64.956,79.291,64.898,60.694,65.424,93.708,8.397,14.278,75.128,8.008
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_12,74.18,85.238,70.009,66.646,67.143,93.434,12.293,19.752,74.035,11.279
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111111111,67.952,81.641,66.213,61.84,65.856,93.871,8.616,14.849,75.545,8.281
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_444,65.776,79.872,66.51,62.701,66.468,93.808,10.519,16.519,75.431,9.423
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111,68.673,82.478,67.4,63.319,66.362,93.78,9.178,15.689,74.791,8.773
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_333,68.425,81.847,67.6,63.065,66.179,93.724,9.79,16.371,74.739,9.201
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111,69.368,82.516,66.646,62.774,66.059,92.997,8.034,14.937,73.003,8.298
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111,69.045,82.603,67.046,63.154,66.19,93.36,8.591,15.3,73.583,8.54
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111,68.561,82.411,66.826,62.654,66.07,93.782,8.935,15.384,74.658,8.592
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_4,72.634,84.509,68.492,65.175,66.778,92.731,11.825,19.081,72.259,10.874
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_2222,68.451,81.681,67.007,62.327,65.975,93.711,8.742,15.031,74.589,8.365
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_66,67.951,81.514,66.205,63.019,65.799,93.361,10.746,17.353,74.053,9.889
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111111111,68.014,81.465,66.074,61.819,65.802,93.91,8.909,15.0,75.818,8.409
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_222222,65.2,79.478,65.826,61.811,66.036,93.823,9.283,15.074,75.523,8.515
